Taxon	nuccore_pass	nuccore_skip	nucest_pass	nucest_skip	accepted
anaplasma.marginale	859	433	0	0	918
anaplasma.phagocytophilum	2289	3	0	0	1685
ehrlichia.canis	347	3	0	0	242
ehrlichia.chaffeensis	243	255	0	0	240
ehrlichia.ruminantium	505	7	0	0	512
neisseria.gonorrhoeae	16821	5596	0	0	2693
neisseria.meningitidis	25797	12	0	0	16156
borrelia.hermsii	505	3	0	0	675
plasmodium.falciparum	26047	137709	93914	1	117489
plasmodium.knowlesi	5386	38	0	0	5434
plasmodium.berghei	10098	14969	60824	1	70862
plasmodium.yoelii	7704	11386	30180	1	37868
plasmodium.chabaudi	12454	21390	0	0	12491
plasmodium.vivax	17819	5642	31856	1	47411
giardia.lamblia	9416	3437	20239	1	29137
trypanosoma.cruzi	24514	62935	14340	6	37355
trypanosoma.brucei	10522	211	5132	3	15790
leishmania.major	9105	88	2192	1	18449
pneumocystis.jirovecii	449	1	0	0	291
pneumocystis.carinii	554	3	3897	1	4381
babesia.bovis	4301	37	8	1	4260
